agentid,yearnumber,weeknumber,Lotto,Lotto Plus1,Euro Millions,Euro Millions Plus,ScratchCard
0deb331f,2016,14,1034,242.5,561,229,1225.08
0589a5b5,2016,14,687,157,528,204,964.98
c1cc3d60,2016,15,974,220.5,520,222,163.98
89d325e4,2016,17,64,16.5,69,7,0
39adcd82,2016,17,962,239,338,145,955.08
f577dfa2,2016,13,893,185,388,172,253.98
1d95eed4,2016,17,2234,523,862,361,1515.06
609c629c,2016,14,544,139,252,99,1034.1
bbe01d03,2016,13,1205,257,559,250,1252.08
ca919e74,2016,15,1076,187,423,54,379.98
575e2c81,2016,14,511,97.5,171,72,424.08
18c0901f,2016,17,2416,558.5,741,302,1450.98
2db80fcf,2016,13,1426,343.5,356,154,856.08
121663c5,2016,15,989,240,531,258,433.98
17ce3abe,2016,17,1097,244,535,228,1000.08
11be3aff,2016,13,509,126.5,382,175,746.1
86300e1b,2016,16,1068,257,447,220,1344.06
b8d24f8d,2016,13,711,175.5,404,140,793.08
4f35541b,2016,17,1230,281.5,292,139,667.98
17460de4,2016,17,1540,368.5,555,223,1693.08
341c9933,2016,14,1079,257,347,156,1000.08
07d2bae9,2016,17,983,237.5,360,162,667.08
c54f0276,2016,14,1040,210,391,130,180
93a0226d,2016,17,346,87.5,128,62,415.98
ded3ea11,2016,17,672,165,395,192,656.1
748dc3dd,2016,15,2495,567,1085,480,1209.06
98f02f26,2016,17,552,138,226,107,170.1
96cfd384,2016,15,1387,320,1012,423,2217.06
db7849f6,2016,17,1709,386,678,259,0
7e491695,2016,17,72,17,51,15,730.08
6d404fbf,2016,15,374,80,191,91,910.08
5a8faded,2016,17,1646,383,478,229,829.4211
8b2c4970,2016,15,2150,477,732,305,1558.08
be5faab3,2016,14,521,126.5,220,102,216
d5f7ad26,2016,17,915,222,719,231,163.98
72800000000000,2016,15,52,13.5,12,7,-3.6
c0c3a269,2016,13,1193,254.5,312,115,658.08
21203d82,2016,17,1128,269.5,425,198,962.1
08b4bb7b,2016,16,2787,546,1155,401,559.08
a72abc63,2016,16,5005,1001.5,1733,551,1468.08
3623f4da,2016,15,450,108,222,96,514.08
1d3bb1bb,2016,14,1087,256.5,553,212,2063.16
b1c1d750,2016,13,393,99,303,160,1441.08
b115a115,2016,17,833,211.5,182,90,928.98
7717746e,2016,15,403,102,171,89,0
d38a7398,2016,17,568,139.5,163,80,0
9acd14ca,2016,14,932,217,338,169,820.08
490d9290,2016,15,370,86.5,180,72,748.08
90fe3285,2016,15,1460,348.5,883,379,1128.06
d73d44c5,2016,17,631,156.5,204,99,820.98
2a458e76,2016,14,119,28,79,26,568.98
dc36d3bf,2016,14,4872,1110,2158,782,2833.0164
2fff211c,2016,16,213,51.5,134,36,469.98
99da92fb,2016,14,1307,314.5,478,206,1029.06
9201e13a,2016,17,1372,324.5,423,155,1369.08
ce738041,2016,14,1074,252.5,356,177,685.98
e69fd2a2,2016,14,156,40,69,38,0
57caae3d,2016,17,411,94.5,154,45,0
5c9e2da7,2016,13,1315,331.5,423,213,1020.06
498b8da2,2016,15,217,55.5,130,63,656.1
dd9ae4ff,2016,16,515,131.5,145,58,649.98
4befb8db,2016,17,2328,559,1324,462,2253.06
1f84ae13,2016,14,317,79,277,116,170.1
5f300a55,2016,13,1001,207.5,649,232,829.98
24c5c7a5,2016,14,221,52.5,169,61,225
7130761c,2016,17,470,116,160,74,550.08
f26e9699,2016,16,476,98,139,51,0
40707b2e,2016,14,3161,741.5,1584,608,2993.04
6352acba,2016,14,1673,403.5,655,286,1866.06
3f1f6011,2016,13,186,47.5,84,35,0
1d3489f9,2016,13,444,99.5,213,88,1432.98
8c3af9fe,2016,17,1093,226.5,664,251,0
3b61bd95,2016,16,1430,316,706,281,550.08
4e558b32,2016,15,501,115,288,102,405
1b6d3d36,2016,16,1109,268,517,230,1198.08
ab988e65,2016,15,1185,264.5,448,180,1018.98
8426ed88,2016,15,584,142.5,264,129,231.48
79c9b990,2016,16,1042,233.5,535,221,1153.98
1673f4de,2016,17,2789,674,899,417,1290.06
90fc5d78,2016,17,521,117.5,408,138,946.08
8a931d71,2016,13,627,133,253,112,2782.98
dc9ee605,2016,17,1013,239,288,146,667.98
9c3c1082,2016,17,1854,435,690,205,550.08
c3e0f696,2016,15,237,60.5,112,58,167.4
ab021ed5,2016,13,258,66,97,41,0
0bed06cc,2016,15,515,130.5,222,116,675
a73cb6ee,2016,15,1393,279.5,529,221,1044
3f4c5db6,2016,13,2118,521.5,872,320,530.1
ef9f17a7,2016,15,819,202.5,318,126,334.08
8c7341b7,2016,16,776,183,465,208,1641.06
76154571,2016,14,772,182.5,496,198,1784.16
b8c43032,2016,17,1834,434.5,737,318,1506.06
b3f2eaa6,2016,15,1675,363,1021,429,2012.04
c2ad2460,2016,17,752,175,395,169,1162.98
2c18387d,2016,14,980,195.5,428,123,793.98
af651497,2016,15,952,240,515,256,424.08
618640f1,2016,15,2877,682.5,1667,660,1983.06
2813f807,2016,14,813,198,336,148,90
0225edf2,2016,16,1542,358,667,276,1153.08
0e81d1bb,2016,17,2199,534,875,399,2786.04
427edea7,2016,15,566,141.5,329,160,253.98
45c2ca3a,2016,17,299,74,149,76,90
8b5a91f6,2016,16,1536,349,1120,405,2163.06
efdc3f54,2016,13,1814,439.5,980,320,2957.04
8dcf5e2f,2016,16,521,127,263,116,0
c8846e8b,2016,13,215,55,86,43,396
7e866bfe,2016,17,658,163.5,180,82,433.98
e67be8a1,2016,15,1042,256,478,219,2002.14
33c8aeac,2016,16,413,96.5,215,71,768.06
711bd9be,2016,17,1040,247.5,388,168,1101.96
75f6719e,2016,14,3520,752.5,1194,452,1702.08
75694397,2016,13,638,160.5,220,115,441
6d4aa2a4,2016,15,491,123,204,97,732.96
697f050e,2016,13,617,152.5,206,93,748.08
311f64b2,2016,17,817,206.5,456,221,1414.08
fe68683c,2016,13,1256,291,789,257,2241.18
0671c2b9,2016,17,1438,338,701,313,1746.18
fa21eedf,2016,16,515,123,242,113,1083.96
be01a048,2016,15,243,55.5,121,52,386.1
5015d2ea,2016,17,1254,296,493,159,730.08
8b7a498f,2016,13,1393,343,539,264,2057.04
80ddfb86,2016,14,529,126.5,274,114,829.98
78818537,2016,14,574,126,432,170,523.98
d2935011,2016,17,235,58,92,35,163.98
625639d5,2016,16,680,165,364,157,730.08
45188b26,2016,16,915,223,645,258,1814.04
f5a4cd8e,2016,15,237,60.5,112,37,216
67bd4002,2016,16,466,115,401,165,487.98
ca36d51a,2016,15,562,137,184,99,549
beee0e30,2016,14,311,65.5,161,55,0
6068d75b,2016,13,421,103.5,230,97,0
2110d974,2016,17,2879,677.5,1017,427,1769.04
46e59bf4,2016,15,595,140,349,134,665.1
52e41583,2016,13,2152,532.5,1133,466,4154.22
93c15356,2016,16,133,22.5,36,18,170.1
fd0e1ac7,2016,16,1867,441.5,736,302,1307.16
e2c0a575,2016,17,515,127.5,198,83,440.1
d3492da5,2016,15,927,182.5,482,136,396
0daa2c76,2016,16,533,129.5,206,86,469.08
f7799a87,2016,15,401,87,152,63,518.4216
4f17b5bb,2016,14,1252,311,401,181,2791.08
f904db96,2016,17,384,85.5,163,53,0
1ea54262,2016,14,4337,754,805,307,2011.14
bb02f4bc,2016,14,932,230.5,448,175,0
d51908ea,2016,17,462,108,178,87,225
ae40d517,2016,13,717,176,279,115,874.08
c5235973,2016,15,1752,408,1205,363,216
726c2a8a,2016,15,1023,229.5,259,100,0
ba68000f,2016,13,789,199.5,456,157,946.08
fffa8ec5,2016,17,246,62,104,53,1200.06
d9341c09,2016,15,701,176,301,151,865.98
6c61d81e,2016,14,99,25.5,31,17,0
5206d5db,2016,17,515,73,112,54,0
d56c332f,2016,13,405,101.5,156,71,874.08
e8e102ac,2016,15,243,61,88,39,144
a9c1752c,2016,13,1571,378,717,328,1515.06
8627c5ad,2016,13,595,148,222,118,1218.96
55a1b609,2016,17,740,170,496,185,334.08
3e2471ed,2016,16,303,76.5,101,46,0
ff05fb09,2016,13,629,150.5,333,163,746.1
d56faa7c,2016,17,2642,656.5,1000,471,1695.06
4e9a95d7,2016,17,509,128,143,69,163.98
41228d37,2016,17,1965,448.5,888,375,1911.06
55a0a8c6,2016,17,825,193,417,175,180
0dc26a05,2016,13,1499,349.5,629,260,351
eef890d5,2016,16,468,108.5,268,115,0
d83a8827,2016,15,311,75.5,390,195,865.08
0baa845f,2016,17,1720,407.5,728,289,469.08
63b337eb,2016,13,1111,265.5,513,232,1549.98
5ab12316,2016,16,709,168.5,414,163,1462.14
990ed222,2016,16,691,166,406,167,0
05b94cb4,2016,14,1156,266.5,412,174,1135.08
2c67a9a1,2016,14,1189,284.5,517,203,1144.08
6e7af2c8,2016,15,233,54.5,180,61,495
29a667b0,2016,14,266,64.5,103,55,1009.08
d186fd9f,2016,17,778,190,218,97,260.1
10a9eb47,2016,15,188,48,69,38,279
21da7990,2016,13,2673,583,1138,494,955.98
119468ff,2016,16,1266,304,574,243,1002.06
e7201190,2016,13,66,15,27,15,424.08
942793f2,2016,14,268,65.5,130,61,0
6168e9f0,2016,13,348,85.5,110,44,702
5e14368e,2016,17,1017,255.5,388,199,692.1
1f5960b5,2016,17,476,119.5,121,57,379.98
559080ac,2016,13,493,122,196,97,252
c859f4ac,2016,14,956,234.5,250,123,707.94
738a04ac,2016,16,1507,365,726,269,1011.06
02bcc98b,2016,13,780,185,327,161,829.98
8cccd022,2016,16,309,66,191,90,216
dfb33399,2016,14,245,57.5,106,36,631.98
bf92643b,2016,13,1295,245.5,625,245,559.98
ad7af1db,2016,15,380,80,195,100,163.98
048f9ab2,2016,16,491,117,180,85,486
8b2db1f7,2016,17,8743,1996,4412,1649,7036.38
90ad41a0,2016,13,119,30.5,106,53,306
59a68fc7,2016,14,2981,706,1748,692,3226.14
a6f9d3d0,2016,15,697,157,322,130,0
d70c73e1,2016,14,760,151.5,529,193,0
f227cdfd,2016,13,1438,324,566,254,1135.98
9de0ccbd,2016,14,262,64.5,158,46,361.98
9a76118f,2016,16,168,38,55,25,432
fdac5e9f,2016,14,1513,367,638,299,2343.96
0eabf983,2016,15,2259,535,818,357,1820.16
8695cecf,2016,13,225,53,95,42,531
9625f01c,2016,17,182,26.5,138,37,163.98
25e2177a,2016,16,4400,902,1254,486,3354.12
adf4c4bb,2016,14,1050,249.5,500,216,1216.08
4ca37e52,2016,14,143,36.5,57,31,469.98
e92f9759,2016,13,421,106.5,172,74,0
3ff2b1e4,2016,17,919,229.5,279,134,1981.08
53d765af,2016,13,360,90,209,99,0
435c5a8d,2016,17,870,206.5,345,169,946.98
f4176cb6,2016,16,1099,265,550,272,774
96ac97ec,2016,15,1011,245,621,249,586.98
101b8553,2016,17,1332,256.5,458,142,386.1
30533c7f,2016,13,2718,634.5,999,423,2119.14
db8ad7f9,2016,14,3774,913.5,1536,641,4962.06
e2dd7f53,2016,15,525,126.5,220,92,334.08
04096ecb,2016,15,454,113,149,63,541.98
46203cc2,2016,17,1814,402.5,618,267,1632.06
2f038dd2,2016,13,458,110,226,104,716.9112
979ba7b1,2016,16,883,213.5,368,164,1652.04
bd9ea74b,2016,14,952,230.5,544,257,1297.98
d4ccb4ad,2016,16,86,21,66,12,0
55341ab2,2016,15,540,115.5,377,139,0
5d686b86,2016,16,511,118.5,480,208,901.08
fbb3a72b,2016,16,307,76.5,114,58,343.98
0c60f4bc,2016,14,1032,245.5,463,194,1883.16
f2abf145,2016,16,887,201.5,261,115,595.98
1f4e3448,2016,13,86,20.5,34,8,1003.68
df73514b,2016,14,521,122,182,68,163.98
310131ef,2016,15,719,176.5,377,153,0
1d079897,2016,17,3880,906,1740,660,3513.24
9da42f5c,2016,15,1489,357,645,281,1775.16
0f2a9938,2016,16,1517,342,581,238,1045.08
d7e45374,2016,17,1597,361,408,199,1306.08
0239e8a2,2016,15,288,56.5,143,59,170.1
89d3ebf7,2016,14,672,158,331,165,1306.08
621a3d2e,2016,13,762,179.5,526,204,0
3d8e74d3,2016,13,1591,346.5,577,201,984.06
bd19ee2d,2016,16,272,66,196,100,432
ee04edd9,2016,17,356,87.5,112,53,0
815d00c2,2016,14,415,90.5,250,102,0
5f50ddb5,2016,17,1174,280,399,174,379.98
326d9310,2016,17,1758,418.5,787,299,1452.96
e986d712,2016,13,578,129,362,149,1668.06
4f19eb35,2016,13,150,37.5,136,73,0
b8090cd1,2016,13,523,128.5,356,169,216
ee78cab3,2016,15,211,54,163,64,163.98
9a66d183,2016,16,311,75.5,213,101,575.1
3eed6b8d,2016,13,983,239.5,415,189,777.96
71f8ad14,2016,16,213,45.5,71,39,233.235
e77e7bd2,2016,14,760,167.5,307,138,0
54c1c900,2016,17,376,90,34,16,180
7e0debb3,2016,15,889,220,419,208,1497.06
7aa15440,2016,17,392,97,141,71,163.98
7782c0cd,2016,14,321,72.5,150,53,379.98
f14a1d3f,2016,13,644,159.5,301,115,901.08
10c8ef08,2016,16,797,200.5,373,192,793.98
37a9fad3,2016,17,1534,375.5,658,266,678.96
08b74191,2016,13,1244,284.5,491,201,1018.08
8a40f289,2016,16,374,84.5,327,121,334.08
4330a4cb,2016,14,147,34.5,79,31,324
ece6b458,2016,17,125,32,57,31,0
87dea2c1,2016,16,942,234,458,221,1488.96
dbf473c0,2016,16,1421,313,704,260,954
df9e6395,2016,13,288,67.5,92,23,225
ebe68e60,2016,17,2001,416.5,673,276,2000.16
0fd5d6a2,2016,17,836,186,651,267,0
09e683fa,2016,14,2183,311.5,929,328,649.98
adb131a7,2016,14,731,165.5,493,201,559.98
c20f9115,2016,14,2105,430,785,299,0
e8385978,2016,14,656,156.5,986,225,216
41dcf531,2016,14,793,199.5,288,121,964.08
f6606273,2016,14,785,191.5,340,158,469.98
4bb775b6,2016,14,276,66,134,54,685.08
121b4e73,2016,16,299,73,84,33,0
7fddabee,2016,15,1085,258.5,531,256,1126.08
23ae10b2,2016,16,1869,441.5,1059,388,865.08
ae24c1e0,2016,17,1940,467.5,774,352,2163.96
3367cc9b,2016,17,1201,242,233,113,0
3dc3745b,2016,14,1272,298.5,588,282,2731.14
506d20bb,2016,16,480,109.5,467,179,2558.16
ba02f201,2016,15,621,121.5,364,136,324
886c544e,2016,15,701,174,515,174,658.98
df1cd9e7,2016,17,3177,719.5,1048,357,865.98
3264e349,2016,17,1546,380,552,226,1486.08
f9634102,2016,14,1879,431,828,294,1099.98
efe8ed20,2016,13,1162,271.5,517,230,604.08
023cc380,2016,17,905,216,494,229,2188.08
6ed266a9,2016,17,570,141.5,362,182,3152.16
6d390a8f,2016,16,817,191,463,210,1144.08
ab69aa05,2016,13,566,137,404,172,260.1
0500c475,2016,14,478,118,200,89,163.98
648c23eb,2016,15,1946,450.5,835,371,2858.04
71f803bc,2016,13,478,98.5,276,114,469.08
8b5f1fb5,2016,17,723,166.5,353,151,1805.04
da3b714c,2016,15,444,111,264,123,216
47d57e4e,2016,16,1411,350.5,408,194,1947.06
4e48c4dd,2016,13,6230,1318.5,2610,979,0
3c93e355,2016,15,154,37.5,79,38,298.98
f5a9bbaa,2016,14,1542,371.5,736,366,955.98
1b5f35e9,2016,16,266,68,187,84,135
29120c20,2016,14,1965,466.5,708,314,1738.08
f7a008a0,2016,13,199,51,75,38,216
8bb32607,2016,13,1713,384.5,999,392,2100.06
11e8a59a,2016,14,364,83,316,119,350.1
1acf4b71,2016,16,640,153.5,152,72,0
aebd3f34,2016,17,1087,265.5,292,129,315
c2f2079c,2016,13,962,187,287,114,710.1
efc72b46,2016,17,417,86.5,371,145,442.08
27fb424f,2016,15,640,126.5,677,172,135
b58b9693,2016,16,2289,476.5,932,322,550.08
a7fa7696,2016,15,791,162.5,932,278,829.98
f6b6c875,2016,16,599,143,246,121,170.1
c2f63bc6,2016,14,143,36.5,93,26,360
77eff2e1,2016,17,1589,383.5,553,218,1342.08
6c272131,2016,15,1068,263.5,883,361,0
0ee2cce9,2016,14,940,227,540,246,1128.06
ca215f1d,2016,15,1285,316,452,214,0
05f4721c,2016,15,1938,421.5,833,340,2615.94
9b4ad098,2016,13,292,70.5,184,90,343.98
a2fa5e1e,2016,17,1911,436,507,205,658.08
d6e423ef,2016,17,137,33.5,40,22,237.78
f199ad11,2016,14,1777,425,708,302,3545.46
cb7f80aa,2016,13,1011,219,553,221,856.08
f465f9ac,2016,13,215,55,95,48,334.08
c90ac0cf,2016,13,654,164,239,92,379.98
5c4e79df,2016,16,1814,434,710,294,1414.08
dfb2703b,2016,14,601,153.5,402,194,1128.06
67573467,2016,16,49,12.5,7,4,0
778b2cd2,2016,15,1181,279.5,428,213,1189.08
e79ebef5,2016,15,4976,1015,1935,706,1452.06
5d68c3dc,2016,15,105,26,86,43,-58.635
de45cfce,2016,16,858,212.5,379,173,559.98
a0453f60,2016,16,1162,289,471,218,1126.08
b51550cd,2016,16,2322,384,623,235,1803.06
47d7ee2d,2016,16,1217,289.5,712,317,2855.16
c5074988,2016,13,211,44,130,53,163.98
8408efbe,2016,17,1493,348.5,483,176,820.08
d1b73995,2016,13,778,192.5,404,191,1200.96
03ae0090,2016,16,682,163,351,153,1081.08
8659d559,2016,14,1679,413.5,671,309,948.96
e64c368a,2016,14,2636,644,1593,635,1622.16
b31af4f6,2016,15,1403,348,596,257,1144.98
a720b91d,2016,16,409,100,64,26,-189.54
261a30c1,2016,15,158,37.5,46,23,270
c61fc6b9,2016,15,780,187,434,198,1353.96
0c64c212,2016,16,1107,265,818,358,1216.98
3b9e6bc7,2016,16,689,143,715,187,478.98
8a1a8c5a,2016,15,601,146.5,1172,615,298.98
62859874,2016,17,311,74,119,55,0
fca29d7b,2016,14,190,48.5,73,40,216
be4106e0,2016,13,531,115,323,139,0
a5aef433,2016,14,1352,308.5,632,268,0
fd60ea1d,2016,17,213,53.5,101,37,343.98
992c4f85,2016,14,897,161,404,169,946.08
331c1918,2016,15,405,100,228,104,216
ca598326,2016,13,1487,319.5,452,191,1054.08
0e25502b,2016,17,950,238,507,225,3494.16
4f026178,2016,15,2391,551.5,995,406,2018.16
eba0b95d,2016,17,901,215.5,401,164,135
59021389,2016,13,725,178,283,108,1917.18
078f9df8,2016,17,1916,463.5,828,361,1360.08
b1d5f891,2016,13,1050,263,261,113,1441.08
eba25940,2016,16,1703,403.5,1376,549,1989.18
1ddb55d6,2016,17,254,64,150,71,424.08
978d1625,2016,15,2438,491.5,1405,466,-2465.5365
cbf9879d,2016,15,170,41.5,207,101,1378.98
845e4341,2016,15,1303,163.5,399,126,0
2d5d5c1e,2016,13,762,186.5,391,170,1605.06
400b4cf3,2016,16,3349,617.5,840,313,1659.06
2e4d21a6,2016,14,2028,487,767,333,1218.06
12c03930,2016,17,868,210,415,161,1202.04
376c1963,2016,13,738,166.5,701,225,432
8309c8ba,2016,17,260,57.5,152,55,874.98
7ae7551a,2016,14,548,128,202,97,298.98
d0666d06,2016,14,272,65,123,63,0
198cf907,2016,16,780,198,329,171,334.08
e7e87569,2016,15,1599,367.5,770,341,1803.06
a21c1ea7,2016,13,521,118,264,128,955.98
e205ebca,2016,13,1066,252.5,404,211,1371.06
272b1a5e,2016,17,617,147,248,96,334.08
d26cd62b,2016,16,1254,298,487,235,1297.98
681de897,2016,17,1642,400,546,249,1299.96
6acf7341,2016,14,415,103.5,327,132,315
01e75a7b,2016,16,280,62,237,103,90
5f5a22ad,2016,15,205,52.5,97,47,414
dd61f4dc,2016,16,2467,585,934,394,1792.08
c9db6505,2016,17,899,210,264,119,1209.06
06d1741e,2016,16,1283,300,1118,375,658.08
555b58d3,2016,17,346,88.5,104,56,324
153b3e40,2016,15,1023,246.5,607,202,432
afb30b43,2016,17,834,191,270,123,694.98
14b976cd,2016,14,784,192.5,423,195,2037.06
35de2820,2016,16,358,82.5,239,118,-478.89
89056cd9,2016,14,703,175,375,147,1036.08
422f6cae,2016,15,248,51,103,40,379.98
28427507,2016,15,525,129,195,102,1297.08
43e2e73f,2016,17,676,164.5,515,184,1074.06
ec866b20,2016,17,1428,340.5,644,291,820.08
09c564cb,2016,17,589,146.5,237,111,910.08
5b868a67,2016,15,411,96,141,65,963
6677f795,2016,15,1685,363,1326,538,1045.98
f6eaa2c0,2016,17,1438,346,544,225,1434.06
b24923ac,2016,13,903,219,500,209,1308.06
4f2d6871,2016,15,211,54,128,56,363.0204
e62e68fe,2016,14,970,230.5,559,249,656.1
93fbb092,2016,15,1017,237,391,169,163.98
bdedf83f,2016,16,2896,686.5,1365,621,3030.12
678dd183,2016,14,299,75.5,253,120,784.98
9b06aea2,2016,15,194,47.5,99,42,0
389c5562,2016,13,611,153,222,104,432
a87039d4,2016,16,623,141,218,92,1936.98
064ee00d,2016,14,782,174.5,688,292,0
b2c1cd8e,2016,13,341,83,167,60,334.08
9f380a92,2016,17,846,194.5,848,364,694.98
20668cc5,2016,13,348,89,143,76,424.08
10dfab8d,2016,14,386,95,121,49,144
c6b20cfc,2016,14,423,100,106,50,1424.16
3f32f781,2016,13,1283,295,813,375,2991.24
735bcb16,2016,17,350,84,147,71,0
6c79ceb1,2016,14,1638,264.5,640,249,0
f6012f4c,2016,14,895,216,454,193,604.08
624e1a3e,2016,17,241,58.5,73,30,0
3db4db9c,2016,14,829,206,277,130,1063.98
23b04348,2016,16,540,129,235,105,903.06
cd4a2fce,2016,13,866,210.5,693,340,0
987faa12,2016,13,141,36,31,17,775.98
b8e40309,2016,14,241,60.5,121,60,270
176f40a4,2016,13,1364,336,476,225,955.08
8206984f,2016,14,923,230.5,369,168,1290.06
5cf8dd59,2016,15,1062,239.5,932,414,1090.98
e4eee739,2016,14,452,110.5,128,70,550.08
71aa147f,2016,14,1138,268,347,169,1480.14
fade503b,2016,17,1076,261,441,184,1315.08
186415f2,2016,14,1193,274.5,553,199,775.08
b22633a2,2016,13,897,216,445,222,1027.98
ef93d5ee,2016,13,785,177.5,544,192,0
641e92ad,2016,14,441,110.5,318,146,1135.98
4bd8ef11,2016,16,1338,308,631,263,0
77d0c853,2016,15,98,25,51,25,163.98
70e966c2,2016,15,2169,534,772,383,1000.08
1501f66b,2016,17,1673,381,369,164,0
4a93a5d9,2016,14,589,144.5,222,91,874.08
a9165878,2016,15,858,191,377,143,1809
3d36792a,2016,16,460,98.5,200,85,163.98
c68b3d42,2016,13,1758,429,1010,363,2513.16
ff4fd405,2016,16,1867,387.5,667,213,604.08
6b840a4d,2016,13,638,159.5,379,173,800.1
3dfd1324,2016,16,1405,311.5,445,193,1234.08
de490f0d,2016,14,1228,299,511,209,550.08
cae55e27,2016,15,568,135,325,150,2291.94
f80adbbe,2016,16,1297,310.5,447,181,306
4652dc7b,2016,13,578,120,158,81,395.28
ca3f9b71,2016,14,642,158,406,132,730.08
56e39e6d,2016,13,392,92.5,288,100,0
1a7e94b7,2016,16,1223,305.5,382,184,793.98
f3dd2506,2016,15,931,209.5,428,195,0
b56ce2f9,2016,17,221,56.5,139,69,0
0e5213dc,2016,13,329,80,196,98,379.98
52e28f5c,2016,17,303,74.5,130,47,135
975599c4,2016,14,223,57,185,86,0
8a9e4ac4,2016,16,1076,132.5,478,206,900
31f8e41f,2016,13,292,71,322,151,559.98
675584a8,2016,16,623,146,296,108,396
08aa9c7a,2016,15,1287,311,741,314,568.98
139cca39,2016,15,1511,369,592,279,1011.06
3aa18109,2016,17,2089,506,1115,508,2524.14
f86ebb9f,2016,15,1475,351,568,259,1162.08
fcd9fe3b,2016,15,897,199,535,199,1162.98
3cd04d1e,2016,13,219,50,62,28,0
223b8c49,2016,14,1513,349,747,369,921.96
23a599c3,2016,14,2634,623.5,1116,477,2453.04
68c02dde,2016,13,284,72.5,165,80,486
981b5fd7,2016,15,550,135,253,90,0
48152331,2016,16,809,191,618,157,351
5bbade8f,2016,16,1123,259.5,658,265,739.08
50d5e0a3,2016,14,3045,721.5,949,410,9590.4
721d45c1,2016,16,1587,386.5,1186,513,1828.08
2.61E+040,2016,13,176,45,77,30,0
ea64ec37,2016,14,1277,312.5,691,215,1423.98
3062036f,2016,17,1213,290.5,456,193,1711.08
a1c8354b,2016,17,4988,1186,1692,676,2194.02
9980830d,2016,17,2163,429,879,294,1414.08
889d3726,2016,14,1148,271,546,235,1485.18
4ad115fd,2016,14,1029,247.5,360,159,1376.1
29d4ce6b,2016,13,401,102.5,200,96,1234.08
b9a1bc0b,2016,16,192,44,108,48,496.98
bbdb2eee,2016,13,1250,264.5,610,238,649.98
e08b2d87,2016,14,2189,291,627,244,640.08
31bff95a,2016,17,2695,580.5,1196,458,4074.12
aa1cc138,2016,14,650,156.5,419,189,270
0c27d27b,2016,15,852,210.5,445,214,694.08
18200973,2016,14,938,226.5,388,186,1180.98
3415063d,2016,13,352,87.5,80,41,0
9dfc4f29,2016,15,934,229,362,149,1343.16
b4fc77df,2016,14,1317,318,447,182,1486.08
6e9a3b0b,2016,15,3635,836,1952,702,1461.06
658a4daa,2016,13,1583,391.5,839,329,1704.06
d9bf3d20,2016,13,217,54.5,126,60,730.98
42364128,2016,17,623,146,272,99,163.98
dd4a25c9,2016,17,609,147,310,118,1099.98
073de91d,2016,15,1085,270,592,261,1877.04
665bb562,2016,14,145,37,143,69,0
b04a13ee,2016,17,1787,425,590,255,1166.94
66485961,2016,15,1119,237,785,248,70.155
e1beea46,2016,16,766,184.5,316,154,966.06
51892077,2016,15,540,131,388,185,550.98
3a35a530,2016,13,1070,246.5,428,208,1768.14
a058debe,2016,14,795,170,581,188,856.08
ccefeb30,2016,17,995,247.5,290,138,820.98
e5c5ea7b,2016,14,1926,431.5,826,327,1281.06
ca0ee601,2016,13,938,233,369,172,216
f56e69b4,2016,15,513,129,379,172,973.98
5.81E+037,2016,13,2056,508.5,360,160,1225.08
18c9bc65,2016,16,319,78,150,72,298.98
11afef91,2016,17,135,33.5,34,16,0
8bf343e5,2016,17,1409,311,441,192,811.98
ee9e96ef,2016,15,470,111.5,252,104,0
86cf0616,2016,16,974,207.5,529,197,948.06
c7f1b309,2016,17,907,218.5,402,181,1785.06
6dcb0c22,2016,14,2044,448.5,1002,330,2343.06
38bffbd9,2016,17,752,186,204,93,386.1
cfbc13bd,2016,14,327,65.5,437,144,288
5501845,2016,17,1279,307,958,376,694.98
cfd5472e,2016,16,866,208.5,458,192,928.98
fea4f946,2016,13,707,174.5,410,149,613.98
5e72f194,2016,13,1513,342.5,848,311,1342.08
c970eba0,2016,14,919,208,680,210,759.96
e4992d77,2016,15,1066,257.5,476,206,216
352ee9c8,2016,15,627,151.5,436,167,1495.98
346c8b3d,2016,16,1125,256.5,540,211,1868.04
9b88b8a5,2016,13,1965,475,864,385,948.96
c35f35e2,2016,17,1764,418.5,901,373,865.98
57c54c00,2016,14,858,205.5,360,178,1603.08
c4f58aa6,2016,17,1538,370,517,211,469.98
824288f5,2016,16,1117,273,382,174,604.98
2ec1aa40,2016,15,182,46.5,117,52,145.98
92ff0d71,2016,15,513,122.5,220,94,478.98
30aefd17,2016,16,1213,296,377,163,1135.98
57065ca5,2016,15,762,171.5,393,123,774
56f37944,2016,13,889,219,369,155,433.98
373cd1e5,2016,16,695,172,294,103,386.1
7c2cd007,2016,14,380,90,345,110,405
aa880c6a,2016,16,1944,436,774,278,523.98
554eabca,2016,16,760,189,756,321,586.98
d5365855,2016,16,1260,286,542,244,685.08
93e23231,2016,14,147,32.5,73,21,102.6
0304ddd5,2016,14,121,31,51,20,0
36e1caa2,2016,14,784,195,358,167,910.98
6be4fb1c,2016,15,925,220,886,392,604.08
a0db2092,2016,15,2265,528.5,868,362,1910.16
854ba126,2016,17,58,15,11,6,0
3562923e,2016,13,1185,282.5,612,282,1353.96
3a37bbb0,2016,15,1079,243.5,301,138,451.98
4107c8d3,2016,16,2320,522,850,411,1324.08
006c53bc,2016,16,2144,394,737,257,469.98
54806684,2016,17,254,65,53,27,-274.23
cf4b4f19,2016,17,180,45,104,42,0
